File_handle,Data_id,Source,Type,Link,Description
P6_lg1_2,P6_lg1_2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Mutant tissue from P6 leaf primordia (all cell layers). Repeat 2
P6_lg1_3,P6_lg1_3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Mutant tissue from P6 leaf primordia (all cell layers). Repeat 3
P6_Wt1,P6_wt1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Wild-type tissue from P6 leaf primordia (all cell layers). Repeat 1
P6_Wt2,P6_wt2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Wild-type tissue from P6 leaf primordia (all cell layers). Repeat 2
P6_Wt3,P6_wt3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Wild-type tissue from P6 leaf primordia (all cell layers). Repeat 3
P7_blade1,P7_blade1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia blade (all cell layers) Repeat 1
P7_blade2,P7_blade2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia blade (all cell layers) Repeat 2
P7_blade3,P7_blade3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia blade (all cell layers) Repeat 3
P7_blade_L1_1,P7_blade_L1_1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 Leaf primordia blade( only adaxial L1 tissue was captured) Repeat 1
P7_blade_L1_2,P7_blade_L1_2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 Leaf primordia blade( only adaxial L1 tissue was captured) Repeat 2
P7_blade_L1_3,P7_blade_L1_3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 Leaf primordia blade( only adaxial L1 tissue was captured) Repeat 3
P7_ligule1,P7_ligule1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (All cell layers) Repeat 1
P7_ligule2,P7_ligule2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (All cell layers) Repeat 2
P7_ligule3,P7_ligule3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (All cell layers) Repeat 3
P7_ligule_L1_1,P7_ligule_L1_1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (only adaxial L1 tissue was captured) Repeat 1
P7_ligule_L1_2,P7_ligule_L1_2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (only adaxial L1 tissue was captured) Repeat 2
P7_ligule_L1_3,P7_ligule_L1_3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (only adaxial L1 tissue was captured) Repeat 3
P7_sheath1,P7_sheath1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (all cell layers) Repeat 1
P7_sheath2,P7_sheath2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (all cell layers) Repeat 2
P7_sheath3,P7_sheath3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (all cell layers) Repeat 3
P7_sheath_L1_1,P7_sheath_L1_1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (only adaxial L1 tissue was captured) Repeat 1
P7_sheath_L1_2,P7_sheath_L1_2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (only adaxial L1 tissue was captured) Repeat 2
P7_sheath_L1_3,P7_sheath_L1_3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (only adaxial L1 tissue was captured) Repeat 3
,,,,,Unknown
,,,,,Unknown
,,,,,Unknown
,,,,,Unknown
,,,,,Unknown
,,,,,Unknown
