File_handle,Data_id,Source,Type,Link,Description
Bundle_sheath_cell_400_1,Bundle Sheath Cells2,Chang 2012,Expression,http://dx.doi.org/10.1104/pp.112.203810,Bundle sheath cells were harvested in the morning from the mid section of second leaves from 9 day old maize seedlings of the White Crystal genotype grown in a greenhouse under natural sunlight 13 to 14 hour days.
Mesophyll_cells_400_1,Mesophyll Cells2,Chang 2012,Expression,http://dx.doi.org/10.1104/pp.112.203810,Mesophyll protoplasts harvested in the morning from the mid section of second leaves from 9 day old maize seedlings of the White Crystal genotype grown in a greenhouse under natural sunlight 13 to 14 hour days.
P6_lg1_A_1,P6_lg1_1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Mutant tissue from P6 leaf primordia (all cell layers). Repeat 1
P6_lg1_b_1,P6_lg1_2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Mutant tissue from P6 leaf primordia (all cell layers). Repeat 2
P6_lg1_b_1,P6_lg1_3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Mutant tissue from P6 leaf primordia (all cell layers). Repeat 3
P6_Wt1_1,P6_wt1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Wild-type tissue from P6 leaf primordia (all cell layers). Repeat 1
P6_Wt2_1,P6_wt2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Wild-type tissue from P6 leaf primordia (all cell layers). Repeat 2
P6_Wt3_1,P6_wt3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,Wild-type tissue from P6 leaf primordia (all cell layers). Repeat 3
P7_blade1_1,P7_blade1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia blade (all cell layers) Repeat 1
P7_blade2_1,P7_blade2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia blade (all cell layers) Repeat 2
P7_blade3_1,P7_blade3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia blade (all cell layers) Repeat 3
P7_blade_L11_1,P7_blade_L1_1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 Leaf primordia blade( only adaxial L1 tissue was captured) Repeat 1
P7_blade_L12_1,P7_blade_L1_2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 Leaf primordia blade( only adaxial L1 tissue was captured) Repeat 2
P7_blade_L1_3_1,P7_blade_L1_3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 Leaf primordia blade( only adaxial L1 tissue was captured) Repeat 3
P7_ligule1_1,P7_ligule1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (All cell layers) Repeat 1
P7_ligule2_1,P7_ligule2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (All cell layers) Repeat 2
P7_ligule3_1,P7_ligule3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (All cell layers) Repeat 3
P7_ligule_L11_1,P7_ligule_L1_1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (only adaxial L1 tissue was captured) Repeat 1
P7_ligule_L12_1,P7_ligule_L1_2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (only adaxial L1 tissue was captured) Repeat 2
P7_ligule_L13_1,P7_ligule_L1_3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia ligule (only adaxial L1 tissue was captured) Repeat 3
P7_sheath1_1,P7_sheath1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (all cell layers) Repeat 1
P7_sheath2_1,P7_sheath2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (all cell layers) Repeat 2
P7_sheath3_1,P7_sheath3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (all cell layers) Repeat 3
P7_sheath_L11_1,P7_sheath_L1_1,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (only adaxial L1 tissue was captured) Repeat 1
P7_sheath_L12_1,P7_sheath_L1_2,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (only adaxial L1 tissue was captured) Repeat 2
P7_sheath_L13_1,P7_sheath_L1_3,Johnston,Expression,http://www.plantcell.org/content/26/12/4718.full,P7 leaf primordia sheath (only adaxial L1 tissue was captured) Repeat 3
